query,relevant_product_ids
salon chair,7444|7468|15612|22389|22391|25431|27541|31306|36910|39461
smart coffee table,10|26|310|601|602|604|605|606|607|608|610|640|683|696|765|1105|1135|1160|1161|1162|1262|1264|1269|1296|1307|1308|1368|1396|1556|1872|1931|2087|2450|2456|2459|2460|2478|2481|2514|2542|2557|2569|2581|2586|2608|2642|2643|2648|2649|2655|2738|2772|2857|2971|3095|3121|3130|3254|3359|3365|3369|3404|3408|3465|3479|3480|3498|3510|3557|3588|3657|3659|3660|3664|3674|3709|3867|4011|4131|4219|4239|4241|4242|4243|4247|4249|4250|4255|4257|4259|4312|4363|4432|4465|4585|4597|4599|4630|4665|4777|4778|4779|4787|4867|4869|4916|4959|4965|4973|4975|4985|4987|4999|5070|5071|5072|5081|5088|5089|5101|5116|5132|5138|5142|5146|5147|5152|5153|5159|5160|5161|5162|5170|5175|5176|5205|5235|5284|5338|5355|5356|5359|5371|5375|5376|5390|5398|5399|5410|5422|5425|5434|5436|5561|5563|5578|5638|5680|5697|5713|5714|5716|5807|5808|5823|5829|5867|5872|5884|5896|5908|5913|6217|6224|6227|6271|6318|6321|6322|6324|6344|6383|6451|6668|6683|6795|6796|6797|6799|6803|6805|6807|6870|6891|6962|7079|7080|7148|7182|7185
dinosaur,3816|7456|7457|9186|9244|9547|9548|9569|10988|11031|11032|11033|11168|11626|11780|11781|11808|12130|12147|12148|13582|13583|13597|13598|16284|16512|17391|17402|17511|18859|19431|20651|20965|20972|20979|23346|25252|25298|26277|27505|27506|27507|27508|27509|27510|27511|27512|27513|27514|27515|27516|28997|29143|29144|29145|29146|29148|29149|29150|29151|29152|29777|29886|29887|29888|29889|30935|32628|35711|37420|38450|38452|38523|38578|38580|38581|38582|38593|38594|38595|38596|42522|42523|42530|42544|42557
turquoise pillows,199|201|524|525|529|530|531|532|533|534|535|786|806|857|881|927|962|1497|1506|1738|1851|1854|1855|1884|1923|1954|2020|2041|2298|2299|2300|2301|2302|2303|2304|2305|2306|2307|2308|2309|2311|2709|2725|2746|2841|2897|2899|2900|2901|3076|3077|3237|3255|3378|3398|3401|3411|3418|3468|3474|3596|3627|3634|3641|3831|3836|3850|3851|3852|3853|3854|3855|3862|3905|3906|3907|3908|3954|3955|3956|4148|4149|4150|4155|4177|4178|4179|4187|4197|4199|4388|4390|4422|4427|4461|4474|4655|4686|4852|5112|5113|5213|5215|5228|5230|5536|5967|5968|5969|5970|5971|5972|5983|5998|6249|6266|6297|6560|6767|6768|6769|6770|6771|6861|6874|6998|7002|7149|7165|7189|7190|7191|7423|7424|7425|7499|7900|7901|8032|8033|8261|8274|8296|8297|9039|9040|9041|9042|9043|9044|9045|9047|9048|9049|9050|9051|9052|9053|9054|9055|9056|9057|9058|9059|9060|9061|9062|9156|9157|9158|9159|9160|9161|9283|9481|9510|9511|9512|9513|9531|9532|9533|9534|9535|9536|9537|9538|9539|9540|9541|9542|9543|9544|9545|9546|9549|9550|9551|9552|9553
chair and a half recliner,113|114|390|391|392|483|725|735|1510|1526|1555|1571|1581|1809|1843|1936|1953|2225|2226|2266|2277|2634|2635|2636|2656|2752|2803|2815|2845|2846|2847|2849|2850|2851|3087|3574|3575|3576|3577|3999|4000|4003|4004|4038|4039|4225|4226|4264|4265|4266|4267|4268|4279|4564|4566|4567|4726|4727|5043|5167|5168|5452|5488|5492|5945|5960|6029|6030|6031|6098|6099|6100|6101|6102|6335|6401|6514|6811|7400|7717|7718|7720|7722|7723|7724|7727|7729|7784|7785|7786|7787|7789|7790|8013|8198|8616|8755|8756|8757|8758|8759|8761|8781|8831|8922|9337|9402|9420|9521|9824|9825|10738|10796|10957|11112|11240|12107|12211|12242|12381|12382|12383|12995|13783|13784|13785|13787|13788|13789|14084|14088|14299|14432|14623|14636|14641|14652|14704|14716|14970|15425|15437|16198|16208|16209|16401|16598|16790|17196|17674|17678|17679|17756|17759|17760|17761|17762|17763|17886|18007|18016|18091|18092|18157|18227|18228|18395|18396|18513|18514|18798|18988|19036|19162|19185|19186|19238|19520|19521|19522|19684|19685|19889|19890|19891|19892|19893|19894|19902|20020|20021|20023|20246|20405|20476|20477|20478|20495|20538|20539
sofa with ottoman,372|380|381|537|654|659|1086|1104|1111|1127|1128|1169|1265|1695|1697|1698|1699|1700|1701|1702|1703|1704|1705|1706|1707|1708|1710|1734|1743|1865|1873|2324|2800|3014|3060|3061|4549|4555|4721|4722|4723|4749|4750|4751|4953|5069|5074|5076|5211|5280|5429|5558|5607|5700|5811|5878|5879|5890|6023|6105|6155|6340|6377|6393|6405|6529|6530|6531|6798|6864|7102|7103|7129|7856|7858|7939|8243|8497|8872|8873|8874|8875|8876|8877|8878|8879|8880|8881|8882|8930|9344|9345|9346|9395|9422|9522|9673|9674|9676|9677|9678|9679|9680|9681|9682|9683|9685|9686|9687|9909|10833|10835|11256|11274|11275|11276|11289|11473|12992|13428|13546|13822|14090|14091|14405|14406|14407|14618|14717|14795|14796|14797|14798|14799|14800|14801|15772|15873|16197|16944|17235|17552|17670|17690|18014|18262|18266|18305|18306|18361|18419|18701|19037|19163|19180|19182|19496|19560|19817|19818|20646|21133|21135|21137|21138|21139|21140|21170|21171|21172|22008|22116|22745|22862|22869|22882|22887|23016|23610|23611|23612|23677|23681|23871|23922|23924|23978|23985|24067|24068|24069|24070|24071|24073|24074|24077|24078|24079|24080|24081
acrylic clear chair,65|246|300|301|451|486|487|603|706|708|726|752|823|1059|1060|1125|1375|1453|1463|1498|1499|1535|1588|1603|1742|1756|1786|2096|2322|2455|2471|2584|2585|2600|2604|2624|2651|2681|2835|2959|3125|3403|3430|3431|3610|3872|4013|4037|4045|4047|4048|4196|4302|4303|4309|4509|4571|4580|4590|4763|4764|4789|5150|5163|5164|5165|5166|5178|5247|5263|5279|5290|5296|5413|5458|5461|5466|5467|5560|5565|5566|5567|5571|5573|5574|5639|5640|5643|5692|5812|5816|5839|5898|5905|5994|6000|6011|6107|6213|6215|6347|6368|6389|6404|6434|6482|6497|6574|6681|6748|6763|6764|6766|6966|6967|7125|7298|7333|7334|7409|7899|8012|8107|8130|8157|8312|8324|8326|8327|8341|8344|8403|8627|8690|8721|8725|8950|8967|9011|9204|9205|9324|9348|9355|9411|9431|9489|9491|9730|9731|9742|10014|10021|10045|10287|10326|10692|10713|10716|10742|10747|10829|11058|11060|11062|11181|11221|11255|11292|11502|11630|12193|12194|13235|13648|13941|13942|14078|14228|14288|14414|14488|14489|14491|14564|14782|14872|14873|14885|14894|15109|15579|15614|15615|15795|15796|16203|16204|16205|16411
driftwood mirror,118|119|121|122|123|124|125|126|636|771|856|932|1003|1004|1005|1007|1009|1011|1018|1019|1021|1022|1023|1024|1025|1026|1027|1041|1042|1043|1157|1165|1309|1310|1458|1538|2242|2653|3357|3647|3697|4310|4518|4522|4550|4595|4613|4634|4690|4698|4783|4911|4912|4913|4914|4915|5025|5108|5109|5392|5486|5612|5817|5858|5859|5860|5861|5862|5863|5909|5911|5912|5997|6010|6152|6153|6212|6222|6265|6280|6343|6352|6376|6834|7378|7459|7471|7895|8109|8293|8300|8302|8303|8322|8420|8652|8700|9202|9997|9998|9999|10000|10001|10280|10702|10817|11299|11308|11309|11310|11316|11346|11347|11357|11358|12480|12736|12988|13060|13061|13424|13425|13715|13734|14045|14046|14049|14051|14226|14227|14370|14700|14701|15025|15246|15249|15250|15730|15760|15819|15835|15837|15841|15852|16004|16028|16407|16649|16659|16924|16953|16958|16961|16969|17033|17178|17296|17355|17379|17411|17464|17518|17519|17985|17986|17987|18214|18215|18353|18417|18457|18764|19016|19250|19275|19281|19580|19747|19751|19752|19768|19777|20509|20607|20628|20629|20630|20762|20898|21362|21533|21534|21535|21536|21537|22056|22478|22489|22492|22507
home sweet home sign,117|224|226|333|544|792|802|889|924|931|1354|1784|1831|2156|2206|2207|2210|2212|2488|2489|2627|2687|2688|2754|2759|2760|2834|3250|3269|3270|3361|3380|3381|3407|3483|3517|3532|3536|3669|3763|3869|3873|4378|4381|4382|4401|4617|4668|5036|5044|5045|5096|5110|5111|5114|5196|5288|5299|5418|5440|5441|5442|5443|5444|5445|5446|5448|5449|5656|5725|5917|6250|6251|6252|6254|6258|6259|6295|6298|6308|6674|6675|6969|7154|7164|7287|7632|7653|7654|7655|7732|7820|7875|7876|7877|7878|7879|7923|7946|7954|7956|7957|8268|8301|8776|8777|8778|8988|8990|9238|9239|9414|9603|9653|9655|9657|9659|9660|9661|9662|9663|10030|10279|10989|10990|11028|11029|11030|11090|11298|11306|11321|11322|11361|11362|11425|11426|11487|11511|12109|12125|12400|12401|12403|12485|12961|13011|13012|13022|13029|13426|13472|13730|14250|14251|14252|14272|14275|14289|14290|14456|15235|15236|15619|15620|15622|15623|15706|15864|15865|15866|16102|16868|16883|16884|16952|17325|17326|17327|17328|17329|17359|17467|17470|17475|17684|17685|17808|17809|17845|17882|17932|17943|17974|17975|17977|17980|17981|17982|18111
coffee table fire pit,742|3288|7507|7969|7970|7971|7972|7974|7996|7997|8714|8715|12301|13615|14429|14610|14744|15058|16859|17606|17607|17613|17993|20281|20647|20907|20909|20910|21308|21800|21801|21802|22769|22863|22999|23622|23920|24272|24415|24416|24418|24419|24420|24421|24422|24844|26851|27916|28520|28576|28838|29361|29381|29691|29859|30092|30093|30094|30826|30832|30833|30834|30835|30837|33629|33642|33736|34404|34405|38098|39718|39719|40928
king poster bed,0|13|79|453|454|500|827|845|1000|1010|1012|1014|1052|1055|1057|1061|1063|1067|1068|1069|1085|1091|1100|1103|1123|1132|1251|1252|1258|1282|1284|1287|1288|1289|1290|1293|1340|1442|1443|1444|1445|1457|1472|1502|1569|1684|1749|1759|1862|1880|1892|1907|1908|1922|1943|1945|1949|1959|2325|2551|2564|2566|2568|2595|2609|2611|2616|2621|2622|2664|2785|2821|2848|2972|2973|3063|3064|3081|3082|3088|3098|3099|3100|3104|3107|3109|3128|3163|3424|3530|3865|4052|4053|4054|4056|4248|4270|4271|4332|4333|4335|4337|4338|4347|4349|4353|4681|4734|4736|4737|4738|4784|4788|4793|4799|4800|4871|4910|4924|4969|5000|5001|5003|5004|5015|5016|5017|5021|5022|5023|5027|5028|5030|5032|5033|5041|5046|5047|5051|5053|5054|5056|5057|5058|5060|5061|5065|5066|5067|5075|5139|5256|5264|5267|5268|5271|5272|5273|5274|5275|5281|5306|5455|5459|5478|5510|5522|5523|5525|5528|5534|5564|5679|5684|5685|5688|5689|5691|5693|5694|5704|5706|5710|5712|5799|5892|5900|5901|5918|5946|5949|5951|5952|5961|5963|5988|6008|6021|6093|6220
